GEOID,district,frac_of_tract
53033000101,5,1.0
53033000102,5,0.994453
53033000201,5,1.0
53033000202,5,1.0
53033000300,5,0.999997
53033000402,5,1.0
53033000403,5,1.0
53033000404,5,1.0
53033000500,5,0.995066
53033000601,5,1.0
53033000602,5,1.0
53033000700,5,1.0
53033000800,5,1.0
53033000900,5,1.0
53033001000,5,1.0
53033001100,5,1.0
53033001201,5,1.0
53033001202,5,1.0
53033001300,5,1.0
53033001400,5,0.648681
53033001400,6,0.351319
53033001500,6,1.0
53033001600,6,0.992238
53033001701,5,0.636956
53033001701,6,0.363044
53033001702,6,1.0
53033001800,5,0.999775
53033001900,5,0.998346
53033002000,5,0.991397
53033002100,5,0.996497
53033002200,4,0.255478
53033002200,5,0.744522
53033002400,4,0.999915
53033002500,4,0.986294
53033002500,5,0.013706
53033002600,4,1.0
53033002700,4,0.310942
53033002700,6,0.688872
53033002800,6,1.0
53033002900,6,1.0
53033003000,6,1.0
53033003100,6,1.0
53033003201,6,0.998825
53033003202,6,1.0
53033003301,6,1.0
53033003302,6,1.0
53033003400,6,1.0
53033003500,6,1.0
53033003601,4,0.167636
53033003601,6,0.832364
53033003602,4,0.387255
53033003602,6,0.612745
53033003800,4,1.0
53033003900,4,1.0
53033004000,4,1.0
53033004101,4,0.999917
53033004102,4,0.998768
53033004201,4,1.0
53033004202,4,1.0
53033004301,4,1.0
53033004302,4,1.0
53033004401,4,1.0
53033004402,4,1.0
53033004500,4,0.386639
53033004500,6,0.613361
53033004600,6,0.999171
53033004701,6,0.999722
53033004702,6,1.0
53033004703,6,0.999487
53033004800,6,0.999678
53033004901,6,0.999941
53033004902,6,0.99927
53033005000,4,0.999798
53033005100,4,1.0
53033005201,4,1.0
53033005202,4,0.996852
53033005303,4,0.997405
53033005304,4,1.0
53033005305,4,1.0
53033005306,4,1.0
53033005307,4,1.0
53033005401,4,0.971024
53033005401,7,0.02636
53033005402,4,0.99969
53033005600,7,1.0
53033005700,7,0.990664
53033005801,7,1.0
53033005803,7,1.0
53033005804,7,1.0
53033005901,6,0.010148
53033005901,7,0.989852
53033005902,7,1.0
53033006000,7,0.999999
53033006100,3,0.520187
53033006100,4,0.479813
53033006200,3,0.999268
53033006300,3,0.986472
53033006400,3,1.0
53033006500,3,1.0
53033006600,3,0.667335
53033006600,4,0.325981
53033006701,7,0.999671
53033006702,7,1.0
53033006703,7,1.0
53033006800,7,1.0
53033006900,7,1.0
53033007001,7,1.0
53033007002,7,1.0
53033007101,7,1.0
53033007102,7,1.0
53033007201,7,1.0
53033007202,7,1.0
53033007203,7,1.0
53033007301,7,1.0
53033007302,7,1.0
53033007303,7,0.999989
53033007403,3,1.0
53033007404,3,0.86976
53033007404,7,0.13024
53033007405,3,1.0
53033007406,3,0.821567
53033007406,7,0.178433
53033007501,3,1.0
53033007502,3,1.0
53033007503,3,1.0
53033007600,3,1.0
53033007700,3,1.0
53033007800,3,0.931064
53033007901,3,1.0
53033007902,3,1.0
53033008002,7,1.0
53033008003,7,1.0
53033008004,7,1.0
53033008101,7,1.0
53033008102,7,0.999997
53033008200,3,0.03551
53033008200,7,0.96449
53033008300,3,0.476534
53033008300,7,0.523466
53033008401,3,0.999989
53033008402,3,0.9876
53033008402,7,0.0124
53033008500,3,0.999066
53033008600,3,0.999945
53033008700,3,1.0
53033008800,3,1.0
53033008900,3,0.944203
53033009000,3,0.999472
53033009100,2,0.999706
53033009200,2,0.351088
53033009200,7,0.648897
53033009300,2,0.997308
53033009400,2,0.635263
53033009400,3,0.364737
53033009500,2,0.69189
53033009500,3,0.296613
53033009600,1,1.0
53033009701,1,1.0
53033009702,1,1.0
53033009801,1,1.0
53033009802,1,1.0
53033009900,1,0.988852
53033009900,2,0.011148
53033010001,2,1.0
53033010002,2,1.0
53033010101,2,1.0
53033010102,2,0.834408
53033010200,2,0.874806
53033010301,2,1.0
53033010302,2,1.0
53033010401,2,1.0
53033010402,2,1.0
53033010501,1,1.0
53033010502,1,1.0
53033010601,1,1.0
53033010602,1,1.0
53033010701,1,1.0
53033010702,1,1.0
53033010800,1,0.995503
53033010900,1,0.013487
53033010900,2,0.870566
53033011001,2,1.0
53033011002,2,1.0
53033011101,2,1.0
53033011102,2,0.999325
53033011200,1,0.98603
53033011300,1,0.999971
53033011401,1,1.0
53033011402,1,0.999677
53033011500,1,1.0
53033011601,1,1.0
53033011602,1,1.0
53033011700,2,0.995509
53033011801,2,1.0
53033011802,2,1.0
53033011901,2,0.99658
53033011902,2,0.962508
53033012000,1,1.0
53033012100,1,0.999912
53033022300,5,0.148272
53033022402,4,0.079246
53033024200,4,0.025687
53033024601,2,0.019729
53033024602,2,0.151965
53033025302,2,0.012349
53033026400,1,0.01073
53033026500,1,0.211453
